name,type,website,headquarters,aliases,legal_entities,partners
Pale Blue Dot,vc,https://paleblue.vc,,Pale Blue Dot;Pale,Pale Blue Dot GmbH,Joel Larsson;Hampus Jakobsson;Lindsey Higgins;Heidi Lindvall;Eirini Gavala
Primepulse,vc,https://primepulse.de,,Primepulse,Primepulse GmbH,Stefan Fritz;Stefan Fritz;Patrick Lanz
ORLEN VC,cvc,https://innowacje.orlen.pl,,ORLEN VC;ORLEN,ORLEN VC GmbH,Wysmułek Konrad;Dybek Łukasz
TRANSITION,vc,https://transition.global,,TRANSITION,TRANSITION GmbH,David Helgason;Ari Helgason;Kristian Branaes;Dhan-Sham Rana;Hannah Jackson
FLORA VC,vc,https://floravc.com,,FLORA VC;FLORA,FLORA VC GmbH,Gil Horsky
Kintanna Ventures,vc,https://kintanna.com,,Kintanna Ventures;Kintanna,Kintanna Ventures GmbH;Kintanna Ventures LP,Ben Saunders;Jack Kennedy;Bianca Hastings-Jones
Bessemer Venture Partners,vc,https://bvp.com,,Bessemer Venture Partners;Bessemer,Bessemer Venture Partners GmbH;Bessemer Venture Partners LP,Karen Lee;Aia Sarycheva;Erin Halbrecht;Kiran Arokiasamy
Innovation Endeavors,vc,https://innovationendeavors.com,,Innovation Endeavors;Innovation,Innovation Endeavors GmbH,Sam Smith-Eppsteiner;Josh Rapperport;Laura Dorsey;Marissa Vargas;Scott Brady
CV VC,vc,https://cvvc.com,,CV VC,CV VC GmbH,Gideon Greaves;Brenton Naicker
Total Investment Services,government,https://invest.nl,,Total Investment Services;Total,Total Investment Services GmbH,
Seedcamp,vc,https://seedcamp.com,,Seedcamp,Seedcamp GmbH,Hilary Szymujko;Alex Lewis;Miguel Pinho;Natasha Lytton;Carlos Espinal
Trill Impact,vc,https://trillimpact.com,,Trill Impact;Trill,Trill Impact GmbH,Kristian Klosterkemper;Isabelle Pilgrim;Lucas Politycki;Toba Spiegel;Jan Stahlberg
"Bryan, Garnier & Co",vc,https://bryangarnier.com,,"Bryan, Garnier & Co;Bryan,","Bryan, Garnier & Co GmbH",Falk Müller-Veerse;Ana Keser;Philippe Sann;Regina Akhmadinurova
Partech,vc,https://partechpartners.com,,Partech,Partech GmbH,Moritz Steinbrecher;Trisha Nangia;Keji Mustapha;Isabelle Tresson;Luis Zarate
Northzone,vc,https://northzone.com,,Northzone,Northzone GmbH,Paula Weber;Dominik Esen;Michiel Kotting;Markus Gleim;Nicola Sibley
BNP Paribas,vc,https://bnpparibas.de,,BNP Paribas,BNP Paribas GmbH,Robert-Alexandre Poujade;Franzen Moritz;Mewes Marcus;Couraudon Laurent;Zimmermann Philipp
Progress Tech Transfer Fund,vc,https://progressttfund.it,,Progress Tech Transfer Fund;Progress,Progress Tech Transfer Fund GmbH,Leonardo Massa
Possible Ventures,vc,https://possible.ventures,,Possible Ventures;Possible,Possible Ventures GmbH;Possible Ventures LP,Simon Leicht;Will Anderson;Tom Orben;Thyra Seitz;Marie Tai
Verve Capital Partners,vc,https://verve-capital.com,,Verve Capital Partners;Verve,Verve Capital Partners GmbH;Verve Capital Partners LP,Michael Investiere;Alexandra Ragalie;Stefan Albers;Oleg Chervonnyi;Thomas Meier
EcoInvestors Capital,pe,https://ecoinvestors.capital,,EcoInvestors Capital;EcoInvestors,EcoInvestors Capital GmbH;EcoInvestors Capital LP,Hari Balasubramanian
Goldman Sachs,pe,https://goldmansachs.com,,Goldman Sachs;Goldman,Goldman Sachs GmbH,Linda Lies;Oluwaseun Awolowo;Daniel Parra;Anne McNiven;Cindy Cho
HCVC,vc,https://hcvc.co,,HCVC,HCVC GmbH,Alexandre Flamant
Ada Ventures,vc,https://adaventures.com,,Ada Ventures,Ada Ventures GmbH;Ada Ventures LP,Francesca Warner;Amina Ahmad;Rockman Law;Diarra Smith;Patricia Jichi
Ragnarson,angel,https://ragnarson.com,,Ragnarson,Ragnarson GmbH,Maciej Gałkiewicz;Kasia Zalewska
Total Energy Ventures,cvc,https://ventures.totalenergies.com,,Total Energy Ventures;Total,Total Energy Ventures GmbH;Total Energy Ventures LP,Xin Ma;Antoine Tillette De Mautort
Plug and Play,cvc,https://plugandplaytechcenter.com,,Plug and Play;Plug,Plug and Play GmbH,Helene Winkels;Pedro Ferreira;Clothilde Venereau;Nadejda Balanutsa;Anna Kazmierczak
Kiko Ventures,vc,https://kiko.vc,,Kiko Ventures;Kiko,Kiko Ventures GmbH;Kiko Ventures LP,Arne Morteani;Monika Burniston;Paul Eisenberg;Ben Murphy;Robert Trezona
Sentient Ventures,vc,https://sentientventures.co.uk,,Sentient Ventures;Sentient,Sentient Ventures GmbH;Sentient Ventures LP,
Cottonwood Tech Fund,vc,https://cottonwood.vc,,Cottonwood Tech Fund;Cottonwood,Cottonwood Tech Fund GmbH,Marie Weijler;Alain Loux;Patrick Claessen Cottonwood Technology Fund
Burnt Island Ventures,vc,https://burntislandventures.com,,Burnt Island Ventures;Burnt,Burnt Island Ventures GmbH;Burnt Island Ventures LP,Marissa Sterling
At One Ventures,vc,https://atoneventures.com,,At One Ventures,At One Ventures GmbH;At One Ventures LP,Laurie Menoud;Helen Lin
Alumni Ventures,pe,https://av.vc,,Alumni Ventures;Alumni,Alumni Ventures GmbH;Alumni Ventures LP,Jin Kim;Rachael Ferm
Firstime Venture Capital,vc,https://firstime.vc,,Firstime Venture Capital;Firstime,Firstime Venture Capital GmbH;Firstime Venture Capital LP,Noy Rimer;Itamar Weitzman
FullCycle,vc,https://fullcycle.com,,FullCycle,FullCycle GmbH,Ibrahim AlHusseini;Giffen Ott
Google,vc,https://google.com,,Google,Google GmbH,David Leibelt;Javier García;The Choice;Work Christian;Holger Public
EnBW,cvc,https://env.vc,,EnBW,EnBW GmbH,Wagner Michael
Beyond Ventures,vc,https://beyondventures.co,,Beyond Ventures;Beyond,Beyond Ventures GmbH;Beyond Ventures LP,Theodore Mollinger
Elemental Excelerator,vc,https://elementalexcelerator.com,,Elemental Excelerator;Elemental,Elemental Excelerator GmbH,Amanda Denney;Avra van der Zee;Gabriel Scheer
La Famiglia,vc,https://lafamiglia.vc,,La Famiglia,La Famiglia GmbH,Jeannette Fürstenberg;Robert Lacher;Judith Dada;Marius Groke;Jeannette Erbprinzessin zu Fürstenberg
PeakBridge VC,vc,https://peakbridge.vc,,PeakBridge VC;PeakBridge,PeakBridge VC GmbH,Leehe Skuler;Orly Savion;Thomas Van Den Boezem;William England;Erich Sieber
AENU,vc,https://aenu.com,,AENU,AENU GmbH,Fabian Heilemann;Ferry Heilemann;Vanessa Brahmi;Catrin Schmidt;Beatrix von Schroeder
Deep Science Ventures,vc,https://deepscienceventures.com,,Deep Science Ventures;Deep,Deep Science Ventures GmbH;Deep Science Ventures LP,Dominic Falcao;Thane Campbell;Adam Tomassi-Russell;Noah Geeves;Pina Mba
Superorganism,vc,https://superorganism.com,,Superorganism,Superorganism GmbH,Tom Quigley;Kevin Webb;Kevin Webb
